"created_at","text"
"Fri Nov 13 22:54:47 +0000 2015","@BobbyShaftoe314 @ATT It is. I made two more calls to @att today and got no-where. This is fraud no doubt about it"
"Fri Nov 13 22:44:19 +0000 2015","I just checked in @ATT with #mPLACES  Download today!  https://t.co/UJfImRNTsD"
"Fri Nov 13 22:05:15 +0000 2015","#Herbs and #Spices r the #essence of a #dish: https://t.co/dhlCx94ghl #weightloss #healthyeating #gmofree https://t.co/VHj4UVwycE"
"Fri Nov 13 18:47:59 +0000 2015","Going on contract with @ATT was probably the stupidest mistake of my life. I regret this shit every fucking day"
"Sat Nov 14 01:53:12 +0000 2015","@Comcast @Comcastcares You never seem to surprise me. A DM from 2 days ago, you finally get back to me to try and help? #ComcastDoesntCare"
"Fri Nov 13 22:26:55 +0000 2015","I just checked in @ATT with #mPLACES  Download today!  https://t.co/DfgUFTgIMa"
"Fri Nov 13 19:05:49 +0000 2015","I just checked in @ATT with #mPLACES  Download today!  https://t.co/QFjfcMAB7b"
"Fri Nov 13 22:55:40 +0000 2015","I just entered to win the new #HTCOneA9 @ATT"
"Fri Nov 13 20:38:01 +0000 2015","Talked to someone new the other day. Different person, different answer. I'll believe it when I see the check @ATT @ATTCares #WaitingOnATT"
"Fri Nov 13 22:03:15 +0000 2015","@TMobile who do I call to get my service fixed bc NONE of my texts are sending."
"Fri Nov 13 19:40:49 +0000 2015","@ATTCares $20 more? Or you mean $240 more a year? That's $240 I'd rather spend on something else!"
"Fri Nov 13 18:15:41 +0000 2015","@superscientific @CaseyNeistat @SamsungMobileUS @TMobile no tmobile is black and white only. The edge plus is available in gold"
"Fri Nov 13 20:16:55 +0000 2015","RT @geekbabe: Remember, ALL are welcome at #VZWBuzz chats, no need to be an @verizon customer"
"Fri Nov 13 20:23:33 +0000 2015","@ATTCares If you care so much, get a handle on your network. https://t.co/u7Wqswbd7z"
"Fri Nov 13 21:27:45 +0000 2015","Had my mom take my phone to Verizon to get my glass screen protector put on so it wouldn't have bubbles... It has bubbles? @verizon"
"Fri Nov 13 21:43:54 +0000 2015","RT @alexysgabrielle: How to get a date with your shatterproof Droid ? @verizon #shatterproof #ad  https://t.co/H6c6YDmF3p"
"Fri Nov 13 20:00:04 +0000 2015","The @Giants aim to once again take down an undefeated @Patriots team, presented by @Verizon https://t.co/Mk36rS4WwE"
"Fri Nov 13 21:43:27 +0000 2015","@VZWSupport More than frustrating is disheartening. We have a 2 year old to provide shelter for. I'm authorized to speak on his behalf."
"Fri Nov 13 18:08:39 +0000 2015","RT @KatiieFiischer: @icedtori @_danmast @eriin_x0x @pinarobread_ @ATTCares AND THEY CHARGE YOY LIKE UP THE ASS FOR A NEW PHONE TOO VERIZONS…"
"Fri Nov 13 22:58:08 +0000 2015","@ATTCares yes me and a wonderful rep at a corporate tried to take care of things. Just very unhappy."
"Sat Nov 14 00:37:10 +0000 2015","@TMobile careful... don't come off as ignoring Paris"
"Fri Nov 13 19:52:45 +0000 2015","Turned on @midnight from Wednesday 11/11 (on #hulu) and was happy to see @Mike_Eagle playing. You funny, Mike."
"Sat Nov 14 01:57:44 +0000 2015","RT https://t.co/HVsw3NalRL https://t.co/lzgadr0kpM #Herbs and #Spices r the #essence of a #dish: … https://t.co/yENVNgLVsi"
"Fri Nov 13 18:24:05 +0000 2015","RT @iFoodWorld: #foodphoto #food #chef #dish #foodeat #foodinlove #cook Crock pot pecan pie https://t.co/uOQQj9UHYg"
"Fri Nov 13 22:52:29 +0000 2015","RT @n4srn: @comcastcares why dont you just take out the middle man and just come to my house and shoot me in the fucking head"
"Fri Nov 13 18:41:03 +0000 2015","Hi Paige Thalia : paigethalia, Do u wanna get FREE iPh0ne 6? Simply check my bi0. Thx https://t.co/aGR59UNcfm"
"Fri Nov 13 21:10:35 +0000 2015","I just checked in @ATT with #mPLACES  Download today!  https://t.co/5zGWbByPQl"
